number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8787343241366976,TrialState.COMPLETE,842,8,0.0366610673102819,0.9420793505857428,0.7179286148305577,4,0.00018596435869285116,6.022265356442589e-08,9.039459245865613
1,0.8614872226702354,TrialState.COMPLETE,1115,7,0.007016099923503259,0.6762629846397948,0.7495072926792705,7,9.459310136668511e-05,4.0669705106431995e-05,5.398431041587134
2,0.8773318162481794,TrialState.COMPLETE,547,6,0.032150389493814616,0.9919682734218456,0.7403478003811281,18,3.4506677704004514e-06,2.5676166586489025e-06,6.416564387330804
3,0.847804972693076,TrialState.COMPLETE,1232,7,0.012219263265192308,0.9826825006421114,0.5712462855244519,9,2.2059769725452894e-05,7.673976587549981e-07,2.195784491740387
4,0.8425294573193787,TrialState.COMPLETE,1954,9,0.005743060399202071,0.7304749245930806,0.7534387464599227,2,1.8902226754842689e-07,0.0011045724906406779,2.264316958177841
5,0.8690759824299289,TrialState.COMPLETE,1972,6,0.19394980455701288,0.6421531939682349,0.7631775949967293,9,0.0001792711747213164,3.271360290404742,7.814617750269966
6,0.8767968868593362,TrialState.COMPLETE,348,6,0.05732073771792808,0.8374064488199755,0.8929293511061633,12,8.321624154065315e-08,2.2726213602571958e-07,8.784172152845857
7,0.890376053116178,TrialState.COMPLETE,867,2,0.08681333909183075,0.8244328198241602,0.6742167841319515,7,2.169052174709616e-06,0.036169076148525575,6.405955925737317
8,0.8680321083986257,TrialState.COMPLETE,1394,3,0.007052411594121767,0.8009043715394382,0.7776481320050325,19,0.09181392143318677,0.06089721437144251,0.6070880482777763
9,0.8780162815982636,TrialState.COMPLETE,442,10,0.005954650382699258,0.6309427742225834,0.6527865209150618,5,1.474070986644241e-08,1.6901170214845138,6.166078691796407
10,0.8646488502600197,TrialState.COMPLETE,1948,10,0.020010116592502812,0.5289025754384143,0.9234927167146436,14,6.2119080120270675,0.0005327430050145464,3.5943837079401186
11,0.8392716102271667,TrialState.COMPLETE,1567,8,0.01263426295957845,0.9009552195584358,0.501227651350247,1,8.681035869105873e-07,0.0004110071210163458,1.7011749778305265
12,0.8422620946306187,TrialState.COMPLETE,1636,8,0.01184380703949953,0.7305596829391529,0.5093835101986397,1,3.917473493618567e-07,0.0010563954059114014,0.367105442240502
13,0.8356930086817961,TrialState.COMPLETE,1534,4,0.014016678435442976,0.8974607831587358,0.5293209116182327,1,0.007737071130437368,0.001553327332341041,0.411354207655247
14,0.8507277673424677,TrialState.COMPLETE,1596,4,0.015600516200249808,0.9033055538532595,0.5128425537416335,1,0.017907606655457955,2.4307123214720097e-05,1.991166436826472
15,0.8616237381691944,TrialState.COMPLETE,1621,5,0.0280412700707484,0.8793066595966754,0.5982543448577134,4,0.0064913848300260845,0.041348595021189816,3.8370425833887465
16,0.8881903879256777,TrialState.COMPLETE,1397,2,0.010095430355148588,0.9092250772696497,0.5805024699719249,3,0.9942042200421148,2.6310153236820294e-05,1.3563083435439163
17,0.8558700847325992,TrialState.COMPLETE,1729,4,0.02005521738335883,0.7636689650204879,0.5023589364530648,6,0.0011271426189545498,0.0035627265668961502,3.3298979779249933
18,0.8368452263682793,TrialState.COMPLETE,1381,4,0.008898969768074801,0.8593844021395636,0.998011060334142,1,0.29083551819338155,0.31953407429213804,0.03500167098652246
19,0.8534873298911964,TrialState.COMPLETE,975,4,0.009004988127438645,0.8444407319664415,0.9810982550760049,3,0.3331758948265971,29.36534395712189,0.3032527645922094
20,0.8443180703017771,TrialState.COMPLETE,1363,3,0.02001135366183475,0.9464194738441266,0.8306012872777182,9,0.011079827319797455,0.6694156485729759,0.09391472551833008
21,0.8457088427607531,TrialState.COMPLETE,1443,5,0.015231192289916512,0.8714975267027482,0.6202818441469276,1,3.9248413721188133,0.00622293856609516,1.3486391150849728
22,0.8516744204021666,TrialState.COMPLETE,1787,3,0.00865259039754038,0.9450545606928863,0.5525033034662719,1,0.21811376588312847,0.00017078627396724378,1.367806460113808
