number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.8565273345692008,TrialState.COMPLETE,1021,6,0.01198505969340356,0.6528746279614634,0.6491890432925991,3,0.0012340926193749999,0.02620511483951356,4.419263519523452
1,0.9058192107117078,TrialState.COMPLETE,811,3,0.02229678450718921,0.5667374392431712,0.85508326029029,5,5.190515055056654,2.7511170237892012e-05,8.806902474694022
2,0.8689074609334416,TrialState.COMPLETE,493,4,0.027445134374995735,0.6368032417653653,0.5989206871180432,2,0.18063136441423053,0.016339783000794274,5.274424585365816
3,0.8393089776874876,TrialState.COMPLETE,1202,4,0.08103522760947575,0.9451306546587501,0.5769206749215563,10,9.864299148766413e-07,5.5286098762409484e-05,1.457185359740154
4,0.8700580985654892,TrialState.COMPLETE,1590,6,0.1568248563080267,0.6390498202937074,0.8387863820789969,10,0.06549360401615018,0.0005785851380219747,6.391110099234021
5,0.8605415220604373,TrialState.COMPLETE,1856,8,0.053426256633397194,0.9185955102440874,0.5667819448749527,13,1.930239275380398e-06,5.036303948913842e-08,4.5281576367290155
6,0.859273243502972,TrialState.COMPLETE,1636,10,0.0050042823155484325,0.9082241925945598,0.8066465267848859,17,3.284154510394218e-05,6.735929664358148,4.165905411474977
7,0.8561324884463553,TrialState.COMPLETE,987,3,0.04406111664718958,0.5951920382072466,0.6792629245244147,17,0.01755505188893298,2.1240756594219553e-05,0.27183189039751365
8,0.872963256474295,TrialState.COMPLETE,1704,7,0.11658122838446494,0.8060677843450255,0.6639569485819892,5,5.4162323217290376e-05,1.137187846783448e-07,8.213792887889008
9,0.8687157582422863,TrialState.COMPLETE,1941,4,0.023780208817424767,0.9515477295802635,0.5302026373840671,13,2.2708827966201956e-08,0.0008520959487444738,3.565186128437021
10,0.9363485585716863,TrialState.COMPLETE,275,10,0.005172587866790958,0.7655284131617162,0.9872925541059732,9,1.1857444648016314e-08,61.43698024599376,0.06145471272906877
11,0.8621627620785661,TrialState.COMPLETE,1203,2,0.0702757599119,0.5023493009002266,0.7204592470788687,20,6.008584599640941e-07,4.199567773490303e-06,0.2400163939375899
12,0.8413853117364447,TrialState.COMPLETE,1274,4,0.05916602706684031,0.798700060517143,0.7393507677197345,16,0.005776908756366445,2.3761232953648077e-06,1.62146499264644
13,0.8439722373448506,TrialState.COMPLETE,1337,5,0.10999915670796374,0.8289973802645699,0.7563841132774303,11,0.0006086640213336445,1.063319452973141e-06,1.9340472600738232
14,0.8665856665063517,TrialState.COMPLETE,1358,2,0.0753601553499871,0.7362972132570875,0.5023867430538344,16,5.77191153760666,1.1768653659566975e-08,1.9662311027290453
15,0.8581873719719034,TrialState.COMPLETE,731,4,0.0442589859980976,0.997810497885824,0.9343010287773428,8,1.355657741237409e-06,0.00048424502301460705,1.9987396665421873
16,0.8609969009243559,TrialState.COMPLETE,1365,5,0.18942955328740074,0.8573676768295854,0.5893206447521027,20,0.0017652673602686075,7.046989417457451e-07,3.067535216001036
17,0.8336799658842687,TrialState.COMPLETE,1177,8,0.08502502348174325,0.7250662725850767,0.7641067116903986,13,1.8370904037055003e-05,0.04965015694685129,1.3234580520512873
18,0.8391330904087254,TrialState.COMPLETE,1007,8,0.11029556753228743,0.7139525203046005,0.9072256122394335,13,2.8655076849503966e-05,0.48146441457752437,1.1383289133136603
19,0.8629423931285045,TrialState.COMPLETE,621,9,0.11871620232520845,0.700893769540497,0.922216152163853,13,3.0475761794998846e-05,0.4236649290222398,6.373768764182195
20,0.8364452393123869,TrialState.COMPLETE,935,8,0.09986137595838185,0.7050122200191878,0.8962124470732382,7,0.00013052752674573998,0.5824242261886143,2.9407477620974136
21,0.8453033069912473,TrialState.COMPLETE,947,8,0.1385318645738932,0.7108968705098675,0.889712835739385,6,0.0001518343119622074,0.16547878975789232,2.6682527108132392
22,0.8351403186903051,TrialState.COMPLETE,1111,8,0.09540972969487661,0.6850919512137057,0.9890509054266651,7,1.0689021931840042e-05,2.5189488864421987,0.9769043157393816
23,0.8431320315744789,TrialState.COMPLETE,1497,9,0.08974556718180433,0.6653299640093988,0.998991956686943,7,7.685697180435367e-06,5.089389610255087,0.9653447328662539
24,0.8693203066495969,TrialState.COMPLETE,1089,7,0.19940700648475426,0.7677673579606181,0.9640578859907475,4,1.8129911555964553e-07,0.013013112052639338,2.958637798039613
25,0.8425371962406206,TrialState.COMPLETE,892,9,0.03748450951677129,0.5808093638484723,0.7944279517088955,1,0.00020890132818246528,3.96929755233751,2.5004551647956346
26,0.8350942490717554,TrialState.COMPLETE,659,7,0.03397210838844541,0.6841869141723415,0.8588884508808423,7,1.4366451560139463e-07,26.24835221173332,0.7812864950331625
27,0.849085663669648,TrialState.COMPLETE,390,7,0.0160283130240285,0.6745631983766416,0.8569466048690333,11,1.1727652534325683e-07,63.672525632817894,0.7109356628344936
28,0.8318165122635734,TrialState.COMPLETE,661,6,0.0305198313300416,0.6141340929539925,0.7935826147225185,8,7.287924604243378e-06,19.955346434353647,0.7574151803228929
29,0.8731473056309906,TrialState.COMPLETE,506,6,0.010305391954663434,0.5407150050339075,0.788855152745837,4,7.962560868197143e-08,91.0827499875485,0.06627600815842172
30,0.8913259342860443,TrialState.COMPLETE,684,7,0.030916231737510676,0.6145756787217895,0.6995387219959633,15,4.551553551568696e-06,0.002960091167089932,9.771584391163351
31,0.8333230940219641,TrialState.COMPLETE,1093,6,0.017759812875864336,0.6725462615451163,0.7635543977413123,8,2.5749423496415597e-07,8.89388142235168,0.8716085645276678
32,0.8315254835368694,TrialState.COMPLETE,843,6,0.01694260803651248,0.754472834548015,0.7637042944167796,9,3.3046827844228653e-07,11.83218881401945,0.8120850471374945
33,0.8406907549959325,TrialState.COMPLETE,799,6,0.016089072781761155,0.7481143536489101,0.7662666277112532,9,3.296207943526044e-06,0.05221012148465548,2.3083656383049886
34,0.8470615538068502,TrialState.COMPLETE,832,5,0.009260936113423232,0.6110274003837936,0.8215238314707862,11,4.592975540954394e-07,18.278864778867437,1.3945752075531468
35,0.839954290977548,TrialState.COMPLETE,528,5,0.017288533714080304,0.6412049894008742,0.7208454931773585,9,4.2648272074110803e-08,1.183760171034486,1.4581248545244585
36,0.8332690914693254,TrialState.COMPLETE,1185,6,0.007829580302542936,0.7343216840924175,0.7797724144199722,12,3.359622997814918e-07,0.08678466079928876,0.5653154206714935
37,0.8330191141397506,TrialState.COMPLETE,1489,6,0.0071183268004753235,0.7828752467622039,0.622473476650855,10,3.6156094770126896e-07,12.424909749450356,0.5672994133275872
38,0.8324092112507098,TrialState.COMPLETE,1462,6,0.007240061937455154,0.8434167428669054,0.6278554639161846,10,1.345608971378256e-06,17.0449290448085,0.5738304134432433
39,0.8688089181351026,TrialState.COMPLETE,1740,5,0.006773259133925749,0.873038519129314,0.6257151644282178,10,1.4396889977477825e-06,17.83710615234389,3.8821956904959256
40,0.8299366896718645,TrialState.COMPLETE,1480,6,0.011953779681213708,0.8789993766847742,0.6273625030701223,10,0.6519047622002896,1.638015807949735,0.00016051538520145403
41,0.826671620151031,TrialState.COMPLETE,1506,6,0.012621380937382826,0.8453145535557461,0.6200268654366466,10,0.2489023283447407,2.047645880485685,0.48681991192446183
42,0.8304904562584366,TrialState.COMPLETE,1514,6,0.013286613458451975,0.8763122746632153,0.5574155430431041,8,0.3992392772917262,1.5537286053718555,0.38172432896118774
43,0.8315555280033776,TrialState.COMPLETE,1779,7,0.013299833625277922,0.8884861172117215,0.5479780764106291,8,0.9089339002315038,2.4635769274139325,0.08523004816349111
44,0.8295336308952155,TrialState.COMPLETE,1872,7,0.012071459677074585,0.8946263108930422,0.5598624094005962,6,0.9004215772673463,1.7354989367202112,0.183528827056829
45,0.8464233136359112,TrialState.COMPLETE,1965,5,0.012809819916267375,0.9295396235003821,0.5597516194452861,5,1.0356339458361332,0.2980499454496591,1.6051805495622027
46,0.8290892834275253,TrialState.COMPLETE,1626,7,0.021762503432710165,0.8977542876498387,0.5086680975867874,6,0.07734647421364906,1.403998665134123,0.0633976866826155
47,0.8308002956608436,TrialState.COMPLETE,1657,7,0.02083501476917284,0.9601666939822022,0.507854302900085,3,0.10173572069860556,0.018400457328947004,0.014561403960932473
48,0.8288502677868665,TrialState.COMPLETE,1864,7,0.01075433169668001,0.8972514900791718,0.5314975979013548,6,0.37225656491842846,1.5095588748467659,0.4151708354902325
49,0.8360498385101454,TrialState.COMPLETE,1852,7,0.010000092173170739,0.9031829748699339,0.6010548134944077,6,0.027513237790470588,0.9991722725237695,1.2621551116862544
