number,value,state,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma
0,0.9035387171090359,TrialState.COMPLETE,532,5,0.18061636521399002,0.972128485257528,0.9119885771524499,17,0.03285074472618876,29.155043934831617,9.751801932461111
1,0.8623954397453709,TrialState.COMPLETE,530,9,0.01210373822567916,0.5793205519952138,0.8244477954720204,17,3.611578441708122e-06,0.0016945705003748681,4.518914138551327
2,0.8666242590395264,TrialState.COMPLETE,1590,7,0.007718859943111654,0.6208317665556609,0.9340844328651384,11,1.1806252901798668,3.0785653309577894,5.280594604754559
3,0.8502856138616495,TrialState.COMPLETE,420,7,0.011076044981377,0.6322127637053193,0.6565396346254474,6,0.002365566347431707,6.310679955453387e-05,2.939209264767475
4,0.8892741694299149,TrialState.COMPLETE,764,2,0.04703353576105849,0.6466017779261419,0.5696452070025679,3,0.6379134420392358,1.2230374821852378e-06,6.436840055391376
5,0.8900652268571497,TrialState.COMPLETE,1756,3,0.017472965572187867,0.8799244964148042,0.6860292521512869,9,0.11320062136926883,5.576905491594985e-06,6.460785426983265
6,0.9033705247276691,TrialState.COMPLETE,580,2,0.026113752806892265,0.8047191638151827,0.9842304272377439,6,0.0014739879895249175,0.0005237188148771687,8.52448835982117
7,0.9020558146838916,TrialState.COMPLETE,268,9,0.0997176129713986,0.9517685905800362,0.6386574792992468,4,0.0018300052951572443,29.14517880377245,9.980156192549059
8,0.8911483483151296,TrialState.COMPLETE,1107,4,0.043836245448581244,0.8552892673910671,0.774472574170449,14,0.001264554431378013,0.20069295447198485,8.604145948320346
9,0.8654139641861625,TrialState.COMPLETE,261,9,0.08878042922053737,0.8475741580868621,0.647607966540368,6,2.336448416579578e-08,0.0001261902253920977,7.184804142818494
10,0.8357264886062244,TrialState.COMPLETE,1226,6,0.006332608384321312,0.7253825330482329,0.5272903323259344,1,1.440023162440821e-06,1.9453415406099473e-08,0.4219588605290516
11,0.833627526458479,TrialState.COMPLETE,1231,6,0.005817179981443959,0.7071410586072144,0.5550969492615629,1,3.893036263272384e-06,5.8651302418057456e-08,0.8680084941795201
12,0.8351024191728409,TrialState.COMPLETE,1264,6,0.005205192834088757,0.7217301870384129,0.512825599137131,1,3.153595481077767e-06,1.944196856126607e-08,0.07028866109175813
13,0.8349715816695082,TrialState.COMPLETE,1299,7,0.005194066544626178,0.7383214972440867,0.5066711246933933,1,9.707143890137919e-06,1.0699811483085152e-08,0.0858934083771466
14,0.8415479241134973,TrialState.COMPLETE,1479,7,0.008778406916432132,0.7298743153187054,0.5810604461038312,1,4.072103659679707e-05,5.04513488731072e-07,1.8714659460686647
15,0.8463239377537796,TrialState.COMPLETE,879,10,0.005080481665908197,0.5094094633949476,0.5771123586571995,4,2.6304055083521703e-08,1.2015883128810823e-07,1.8501662041373788
16,0.8380987145678324,TrialState.COMPLETE,978,5,0.017000313893053082,0.7732046274089441,0.718160896867916,20,5.1880004786982054e-05,7.533712346493571e-06,1.4388547885165728
17,0.8513130803633567,TrialState.COMPLETE,1907,8,0.009690462199866615,0.6687952578401754,0.5020216955698777,9,1.5124475279688238e-07,1.107452480089745e-08,3.405834929527618
18,0.8381535723995834,TrialState.COMPLETE,1427,5,0.014669627481114706,0.5511257988185032,0.6008751115039386,3,7.288151037516479e-05,3.1015311664584783e-07,1.0825572905870509
19,0.8476735824204127,TrialState.COMPLETE,1275,6,0.007657810028442598,0.7797788849173654,0.5563289749387633,8,3.738098098116739e-07,0.03806617341140669,2.78866860890405
20,0.831641534378363,TrialState.COMPLETE,1652,8,0.02488832368278404,0.6975140315165872,0.7340820756220297,3,1.4139621058390497e-05,5.993564226251498e-06,0.08050882787484587
21,0.8312605476975369,TrialState.COMPLETE,1607,8,0.028790014458921747,0.6981161248037505,0.7844196825883647,3,1.889064546813577e-05,8.007334077912992e-08,0.15234230654853498
22,0.8372028152300071,TrialState.COMPLETE,1737,8,0.029412126647184653,0.6715371800088314,0.8076141818303806,3,0.00011974184326952005,6.4240238779554565e-06,0.9920888577623848
23,0.8421514557220545,TrialState.COMPLETE,1976,8,0.027934932713827087,0.6760021034627413,0.742253288520753,4,3.3457631701303325e-07,1.1247303998448261e-07,2.446782139608776
24,0.8397646528173611,TrialState.COMPLETE,1632,10,0.04770071648995109,0.5972638463676322,0.8527302360863718,6,1.1305216342371997e-05,1.9579265599277647e-06,0.859973821784794
25,0.8527011727824363,TrialState.COMPLETE,1490,8,0.022684474913402464,0.6930458746617401,0.8603080376081089,2,0.00030139461584401144,2.4655630487927868e-05,4.093327831043357
26,0.8587094647725769,TrialState.COMPLETE,1840,9,0.06610135362643783,0.7743860332425196,0.7570128489522174,5,1.0786570658702806e-05,1.8646685468826e-07,2.002810171496603
27,0.8366731755184509,TrialState.COMPLETE,1643,4,0.035478656283937086,0.8170540370814613,0.7007919212972958,7,7.704828686272567e-07,8.325128631484018e-08,0.7495587329351521
