Control_Type,Description,Baseline,Control_Condition,RMSE_Baseline,RMSE_Control,R²_Baseline,R²_Control,Spearman_Baseline,Spearman_Control,ΔR²,ΔSpearman,Interpretation
Feature_Ablation,Chemistry only (Group A),Full model,Chemistry descriptors only,0.830,0.861,0.472,0.432,0.733,0.715,-0.040,-0.018,Chemistry provides primary signal
Feature_Ablation,Chemistry + Position Stats (A+B1),Full model,Chemistry + position statistics only,0.830,0.852,0.472,0.444,0.733,0.719,-0.028,-0.014,Position statistics contribute +0.012 R² over chemistry
Feature_Ablation,Chemistry + Residue Comp (A+B2),Full model,Chemistry + residue composition only,0.830,0.867,0.472,0.424,0.733,0.719,-0.048,-0.014,Residue composition alone provides minimal benefit
Feature_Ablation,Chemistry + Context (A+B3),Full model,Chemistry + local context only,0.830,0.871,0.472,0.419,0.733,0.707,-0.053,-0.026,Local context alone provides minimal benefit
Feature_Ablation,Chemistry + All Anchors (A+B),Full model,Chemistry + all anchor features,0.830,0.838,0.472,0.462,0.733,0.738,-0.010,+0.005,Anchor features contribute +0.030 R² over chemistry
Feature_Ablation,Chemistry + Attachment (A+C),Full model,Chemistry + attachment features only,0.830,0.863,0.472,0.429,0.733,0.715,-0.043,-0.018,Attachment features provide minimal value
Graded_Perturbation,Shift -5 residues,Correct anchors,Anchors shifted -5 toward N-term,0.830,1.376,0.472,-0.451,0.733,0.506,-0.923,-0.227,Large shift causes catastrophic failure
Graded_Perturbation,Shift -3 residues,Correct anchors,Anchors shifted -3 toward N-term,0.830,1.165,0.472,-0.040,0.733,0.544,-0.512,-0.189,Medium shift worse than trivial baseline
Graded_Perturbation,Shift -2 residues,Correct anchors,Anchors shifted -2 toward N-term,0.830,1.177,0.472,-0.061,0.733,0.527,-0.533,-0.206,Small shift worse than trivial baseline
Graded_Perturbation,Shift -1 residue,Correct anchors,Anchors shifted -1 toward N-term,0.830,1.021,0.472,0.202,0.733,0.563,-0.270,-0.170,Single-residue error causes ~57% performance loss
Graded_Perturbation,Shift +1 residue,Correct anchors,Anchors shifted +1 toward C-term,0.830,0.964,0.472,0.288,0.733,0.602,-0.184,-0.131,Single-residue error causes ~39% performance loss
Graded_Perturbation,Shift +2 residues,Correct anchors,Anchors shifted +2 toward C-term,0.830,1.181,0.472,-0.068,0.733,0.449,-0.540,-0.284,Small shift worse than trivial baseline
Graded_Perturbation,Shift +3 residues,Correct anchors,Anchors shifted +3 toward C-term,0.830,1.191,0.472,-0.086,0.733,0.464,-0.558,-0.269,Medium shift worse than trivial baseline
Graded_Perturbation,Shift +5 residues,Correct anchors,Anchors shifted +5 toward C-term,0.830,1.236,0.472,-0.171,0.733,0.482,-0.643,-0.251,Large shift causes catastrophic failure
Positional_Control,Wrong anchor (hash-based),Correct anchors,Deterministic ±1 to ±5 shift by hash,0.830,0.898,0.472,0.383,0.733,0.676,-0.089,-0.057,Wrong anchors significantly degrade performance
Positional_Control,Coarse position (tertile),Correct anchors,Map to tertile region centers,0.830,0.877,0.472,0.410,0.733,0.699,-0.062,-0.034,Coarse position inferior to exact anchors
Generalization,Harder split (70% identity),Random split,Sequence cluster split (70% threshold),0.830,0.890,0.472,0.270,0.733,0.657,-0.202,-0.076,Performance degrades 43% on novel scaffolds
Generalization,Descriptor-only harder split,Descriptor-only random,Descriptor-only on 70% split,0.857,0.891,0.438,0.268,0.720,0.679,-0.170,-0.041,Chemistry degrades 39% but maintains ranking
Generalization,Anchor gain on harder split,Anchor gain random,Anchor-aware - Descriptor on 70% split,ΔR²=+0.039,ΔR²=+0.002,N/A,N/A,N/A,N/A,-0.037,N/A,Anchor gain collapses 95% on novel scaffolds
